node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,1531.9384477,573.76726117,10634.0,21650.0,-1.0,600.0,0.0,
C1,Customer,1379.67939751,641.4475861000002,17025.0,28800.0,-1.0,600.0,0.0,
C2,Customer,1398.31236195,654.20964792,13668.0,28800.0,-1.0,600.0,0.0,
C3,Customer,1487.2916991,511.1253202,0.0,17462.0,-1.0,600.0,0.0,
C4,Customer,1399.5292447999998,551.47759343,7242.0,28800.0,-1.0,600.0,0.0,
C5,Customer,1199.48128704,4599.96885128,21180.0,28800.0,-1.0,600.0,0.0,
C6,Customer,1085.34997667,4596.41510011,15850.0,28800.0,-1.0,600.0,0.0,
C7,Customer,1167.24997439,4560.88853884,12691.0,28800.0,-1.0,600.0,0.0,
C8,Customer,1142.95908363,4771.92505339,9443.0,17451.0,-1.0,600.0,0.0,
C9,Customer,1180.45407022,4567.493807,3947.0,16076.0,-1.0,600.0,0.0,
C10,Customer,1040.84384448,4817.98865087,12626.0,28800.0,-1.0,600.0,0.0,
C11,Customer,1052.41568041,4826.03607578,0.0,16802.0,-1.0,600.0,0.0,
C12,Customer,1182.87689541,4428.53452234,0.0,17816.0,-1.0,600.0,0.0,
C13,Customer,1158.71586221,4502.55153603,7220.0,19758.0,-1.0,600.0,0.0,
C14,Customer,1252.13989934,4797.10147348,0.0,15518.0,-1.0,600.0,0.0,
C15,Customer,1231.25677353,4698.51667755,15625.0,28800.0,-1.0,600.0,0.0,
C16,Customer,1140.47216871,4611.05889499,19747.0,28800.0,-1.0,600.0,0.0,
C17,Customer,972.61946522,4508.190886300001,10818.0,23011.0,-1.0,600.0,0.0,
