node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,4735.0,1605.0,0.0,18671.0,-1.0,600.0,0.0,
C1,Customer,1204.0,1472.0,0.0,17493.0,-1.0,600.0,0.0,
C2,Customer,3918.0,3678.0,12725.0,28800.0,-1.0,600.0,0.0,
C3,Customer,1167.0,256.0,0.0,28800.0,-1.0,600.0,0.0,
C4,Customer,1684.0,3762.0,0.0,28800.0,-1.0,600.0,0.0,
C5,Customer,3299.0,1954.0,0.0,25758.0,-1.0,600.0,0.0,
C6,Customer,2767.0,816.0,6319.0,28800.0,-1.0,600.0,0.0,
C7,Customer,2957.0,2435.0,0.0,28800.0,-1.0,600.0,0.0,
C8,Customer,4469.0,1634.0,0.0,15703.0,-1.0,600.0,0.0,
C9,Customer,560.0,973.0,0.0,25770.0,-1.0,600.0,0.0,
BS0,BaseStation,176.0,40.0,,,,,,46.0
BS1,BaseStation,2597.0,224.0,,,,,,46.0
BS2,BaseStation,5000.0,0.0,,,,,,46.0
BS3,BaseStation,1345.0,2149.0,,,,,,46.0
BS4,BaseStation,3739.0,2206.0,,,,,,46.0
BS5,BaseStation,14.0,4475.0,,,,,,46.0
BS6,BaseStation,2576.0,4342.0,,,,,,46.0
BS7,BaseStation,5000.0,4363.0,,,,,,46.0
