node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,1819.0,2994.0,11402.0,28290.0,-1.0,600.0,0.0,
C1,Customer,3585.0,4398.0,19312.0,28800.0,-1.0,600.0,0.0,
C2,Customer,1366.0,751.0,9384.0,28800.0,-1.0,600.0,0.0,
C3,Customer,2074.0,649.0,0.0,11341.0,-1.0,600.0,0.0,
C4,Customer,769.0,1498.0,1336.0,13596.0,-1.0,600.0,0.0,
C5,Customer,3099.0,4464.0,789.0,28310.0,-1.0,600.0,0.0,
C6,Customer,3135.0,4179.0,0.0,15901.0,-1.0,600.0,0.0,
C7,Customer,1609.0,903.0,9514.0,28800.0,-1.0,600.0,0.0,
C8,Customer,1655.0,3226.0,0.0,8505.0,-1.0,600.0,0.0,
C9,Customer,1047.0,3650.0,0.0,11541.0,-1.0,600.0,0.0,
C10,Customer,4162.0,2892.0,751.0,9444.0,-1.0,600.0,0.0,
C11,Customer,3518.0,1975.0,9052.0,27787.0,-1.0,600.0,0.0,
C12,Customer,4578.0,2689.0,19675.0,28800.0,-1.0,600.0,0.0,
C13,Customer,4980.0,3655.0,0.0,19785.0,-1.0,600.0,0.0,
C14,Customer,780.0,1073.0,0.0,15643.0,-1.0,600.0,0.0,
C15,Customer,3641.0,4621.0,17843.0,28800.0,-1.0,600.0,0.0,
C16,Customer,4209.0,3028.0,14541.0,28800.0,-1.0,600.0,0.0,
C17,Customer,158.0,1268.0,0.0,10753.0,-1.0,600.0,0.0,
C18,Customer,2062.0,1889.0,3534.0,26553.0,-1.0,600.0,0.0,
C19,Customer,4637.0,3671.0,0.0,12290.0,-1.0,600.0,0.0,
