node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,3599.94747581,2685.09857646,0.0,28800.0,-1.0,600.0,0.0,
C1,Customer,3464.70658939,2587.34090802,7545.0,22461.0,-1.0,600.0,0.0,
C2,Customer,3622.01684254,2723.12073261,6684.0,28800.0,-1.0,600.0,0.0,
C3,Customer,3615.19934582,2854.54584381,0.0,12616.0,-1.0,600.0,0.0,
C4,Customer,3674.09986003,2600.49060067,0.0,28800.0,-1.0,600.0,0.0,
C5,Customer,3865.69263579,2747.572222,0.0,19101.0,-1.0,600.0,0.0,
C6,Customer,3623.41702338,2608.34547693,0.0,28800.0,-1.0,600.0,0.0,
C7,Customer,3571.15850189,2935.72827584,5662.0,28800.0,-1.0,600.0,0.0,
C8,Customer,3598.79670367,2647.79548974,1771.0,28800.0,-1.0,600.0,0.0,
C9,Customer,3529.94122152,2820.18506294,5514.0,28800.0,-1.0,600.0,0.0,
C10,Customer,3664.13667774,2692.92323559,0.0,11770.0,-1.0,600.0,0.0,
C11,Customer,3728.78496455,2945.99711784,14299.0,28800.0,-1.0,600.0,0.0,
C12,Customer,3648.12391954,2708.00027422,12383.0,28800.0,-1.0,600.0,0.0,
C13,Customer,3779.04593514,2615.53854191,5596.0,27168.0,-1.0,600.0,0.0,
C14,Customer,3655.7252508,2542.15387417,4337.0,28800.0,-1.0,600.0,0.0,
C15,Customer,3650.35760354,2695.0678402,0.0,28800.0,-1.0,600.0,0.0,
C16,Customer,3452.12786208,2776.42407186,0.0,28800.0,-1.0,600.0,0.0,
C17,Customer,3680.67046821,2593.70228214,0.0,27919.0,-1.0,600.0,0.0,
