node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,3186.0,281.0,1467.0,28800.0,-1.0,600.0,0.0,
C1,Customer,1777.0,4896.0,0.0,28800.0,-1.0,600.0,0.0,
C2,Customer,3361.0,3854.0,0.0,28800.0,-1.0,600.0,0.0,
C3,Customer,146.0,4566.0,2024.0,28800.0,-1.0,600.0,0.0,
C4,Customer,4317.0,1308.0,0.0,28800.0,-1.0,600.0,0.0,
C5,Customer,4605.0,3396.0,0.0,28800.0,-1.0,600.0,0.0,
C6,Customer,2562.0,595.0,10090.0,25062.0,-1.0,600.0,0.0,
C7,Customer,908.0,647.0,0.0,20265.0,-1.0,600.0,0.0,
C8,Customer,4652.0,4040.0,10141.0,28800.0,-1.0,600.0,0.0,
C9,Customer,4981.0,573.0,0.0,28800.0,-1.0,600.0,0.0,
C10,Customer,2813.0,256.0,394.0,20708.0,-1.0,600.0,0.0,
C11,Customer,3695.0,3208.0,12013.0,28800.0,-1.0,600.0,0.0,
C12,Customer,3413.0,3279.0,2553.0,26644.0,-1.0,600.0,0.0,
C13,Customer,423.0,1028.0,0.0,28682.0,-1.0,600.0,0.0,
C14,Customer,3623.0,4444.0,0.0,28800.0,-1.0,600.0,0.0,
C15,Customer,3734.0,2989.0,1778.0,28800.0,-1.0,600.0,0.0,
C16,Customer,3486.0,586.0,564.0,18467.0,-1.0,600.0,0.0,
C17,Customer,3729.0,3291.0,0.0,23869.0,-1.0,600.0,0.0,
C18,Customer,967.0,2867.0,0.0,12307.0,-1.0,600.0,0.0,
C19,Customer,4370.0,739.0,13034.0,27928.0,-1.0,600.0,0.0,
C20,Customer,860.0,4969.0,11340.0,28800.0,-1.0,600.0,0.0,
C21,Customer,433.0,4882.0,0.0,11414.0,-1.0,600.0,0.0,
C22,Customer,4905.0,3445.0,6503.0,28800.0,-1.0,600.0,0.0,
C23,Customer,1429.0,437.0,0.0,28800.0,-1.0,600.0,0.0,
C24,Customer,4297.0,3898.0,1399.0,28800.0,-1.0,600.0,0.0,
C25,Customer,3929.0,4011.0,0.0,17780.0,-1.0,600.0,0.0,
C26,Customer,2546.0,1847.0,0.0,15577.0,-1.0,600.0,0.0,
C27,Customer,329.0,1532.0,0.0,24565.0,-1.0,600.0,0.0,
C28,Customer,3612.0,1020.0,0.0,28800.0,-1.0,600.0,0.0,
C29,Customer,209.0,941.0,0.0,23463.0,-1.0,600.0,0.0,
C30,Customer,3968.0,2903.0,0.0,28800.0,-1.0,600.0,0.0,
C31,Customer,1040.0,449.0,0.0,23965.0,-1.0,600.0,0.0,
C32,Customer,164.0,3398.0,0.0,28800.0,-1.0,600.0,0.0,
C33,Customer,606.0,3125.0,0.0,22752.0,-1.0,600.0,0.0,
C34,Customer,1219.0,816.0,3559.0,28800.0,-1.0,600.0,0.0,
C35,Customer,1331.0,2107.0,0.0,22120.0,-1.0,600.0,0.0,
C36,Customer,4232.0,1690.0,4933.0,21261.0,-1.0,600.0,0.0,
C37,Customer,952.0,4259.0,13726.0,28800.0,-1.0,600.0,0.0,
C38,Customer,4955.0,3642.0,862.0,28516.0,-1.0,600.0,0.0,
C39,Customer,3165.0,945.0,0.0,28800.0,-1.0,600.0,0.0,
C40,Customer,2798.0,201.0,10348.0,26276.0,-1.0,600.0,0.0,
C41,Customer,160.0,1805.0,0.0,28800.0,-1.0,600.0,0.0,
C42,Customer,2195.0,1862.0,0.0,28800.0,-1.0,600.0,0.0,
C43,Customer,4680.0,550.0,0.0,17845.0,-1.0,600.0,0.0,
C44,Customer,1111.0,3751.0,0.0,28800.0,-1.0,600.0,0.0,
C45,Customer,3085.0,1672.0,0.0,28800.0,-1.0,600.0,0.0,
C46,Customer,1908.0,2040.0,0.0,28800.0,-1.0,600.0,0.0,
C47,Customer,2999.0,903.0,7875.0,28800.0,-1.0,600.0,0.0,
C48,Customer,2763.0,504.0,4718.0,28800.0,-1.0,600.0,0.0,
C49,Customer,732.0,3811.0,3428.0,28800.0,-1.0,600.0,0.0,
BS0,BaseStation,0.0,0.0,,,,,,46.0
BS1,BaseStation,2500.0,0.0,,,,,,46.0
BS2,BaseStation,5000.0,0.0,,,,,,46.0
BS3,BaseStation,1250.0,2165.0,,,,,,46.0
BS4,BaseStation,3750.0,2165.0,,,,,,46.0
BS5,BaseStation,0.0,4330.0,,,,,,46.0
BS6,BaseStation,2500.0,4330.0,,,,,,46.0
BS7,BaseStation,5000.0,4330.0,,,,,,46.0
