node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,3163.0,373.0,3965.0,19317.0,-1.0,600.0,0.0,
C1,Customer,2045.0,3232.0,11749.0,28800.0,-1.0,600.0,0.0,
C2,Customer,1623.0,2474.0,19695.0,28800.0,-1.0,600.0,0.0,
C3,Customer,1613.0,1407.0,13512.0,28800.0,-1.0,600.0,0.0,
C4,Customer,510.0,611.0,0.0,20435.0,-1.0,600.0,0.0,
C5,Customer,4206.0,3995.0,0.0,21278.0,-1.0,600.0,0.0,
C6,Customer,4636.0,2352.0,0.0,9283.0,-1.0,600.0,0.0,
C7,Customer,2097.0,1674.0,0.0,13362.0,-1.0,600.0,0.0,
C8,Customer,2391.0,1297.0,11904.0,28800.0,-1.0,600.0,0.0,
C9,Customer,1498.0,4567.0,10238.0,17450.0,-1.0,600.0,0.0,
C10,Customer,1776.0,2333.0,7956.0,16528.0,-1.0,600.0,0.0,
C11,Customer,1218.0,4710.0,0.0,19641.0,-1.0,600.0,0.0,
C12,Customer,2321.0,1659.0,0.0,19205.0,-1.0,600.0,0.0,
C13,Customer,1344.0,4546.0,17364.0,28002.0,-1.0,600.0,0.0,
C14,Customer,236.0,3549.0,12293.0,21992.0,-1.0,600.0,0.0,
C15,Customer,4758.0,2695.0,10144.0,28800.0,-1.0,600.0,0.0,
C16,Customer,2127.0,2633.0,14350.0,28800.0,-1.0,600.0,0.0,
C17,Customer,1186.0,3543.0,21755.0,28800.0,-1.0,600.0,0.0,
C18,Customer,3752.0,4497.0,0.0,19681.0,-1.0,600.0,0.0,
C19,Customer,3062.0,243.0,6451.0,17387.0,-1.0,600.0,0.0,
BS0,BaseStation,0.0,0.0,,,,,,46.0
BS1,BaseStation,2500.0,0.0,,,,,,46.0
BS2,BaseStation,5000.0,0.0,,,,,,46.0
BS3,BaseStation,1250.0,2165.0,,,,,,46.0
BS4,BaseStation,3750.0,2165.0,,,,,,46.0
BS5,BaseStation,0.0,4330.0,,,,,,46.0
BS6,BaseStation,2500.0,4330.0,,,,,,46.0
BS7,BaseStation,5000.0,4330.0,,,,,,46.0
